subject,question,optionA,optionB,optionC,optionD,answer
English Language,Choose the correct spelling.,Recieve,Receive,Receeve,Receve,B
English Language,What is the plural of child?,Childs,Children,Childes,Childrens,B
English Language,Choose the opposite of hot.,Warm,Cold,Heat,Fire,B
English Language,Identify the verb: She runs fast.,She,Runs,Fast,The,B
English Language,Choose the correct sentence.,He go to school.,He goes to school.,He going to school.,He gone to school.,B
English Language,What is the past tense of eat?,Eated,Eat,Ate,Eating,C
English Language,Choose the synonym of happy.,Sad,Joyful,Angry,Tired,B
English Language,Choose the opposite of early.,Soon,Quick,Late,Fast,C
English Language,Identify the noun: The boy kicked the ball.,Kicked,Boy,The,Quickly,B
English Language,Choose the correct article: ___ apple.,A,An,The,No article,B
English Language,What is the plural of box?,Boxs,Boxes,Boxies,Boxen,B
English Language,Choose the correct pronoun: Mary is kind. ___ helps others.,He,It,She,They,C
English Language,Choose the opposite of strong.,Powerful,Weak,Hard,Heavy,B
English Language,What is the past tense of go?,Goed,Going,Went,Gone,C
English Language,Choose the correct spelling.,Definately,Definitely,Definetly,Definitley,B
English Language,Identify the adjective: The red car is fast.,Car,Red,Is,Fast,B
English Language,Choose the correct sentence.,They was happy.,They were happy.,They is happy.,They be happy.,B
English Language,What is the plural of woman?,Womans,Womens,Women,Womanes,C
English Language,Choose the synonym of small.,Tiny,Large,Huge,Wide,A
English Language,Choose the correct word: I ___ my homework yesterday.,Do,Did,Does,Doing,B
